ID,parliament_id,person_id,MP_pol_group,MP_role_ID,MP_role_begin,MP_role_end
1,6,62,1,4,"01/23/88 00:00:00","11/05/92 00:00:00"
2,6,48,2,4,"01/23/88 00:00:00","11/05/92 00:00:00"
3,6,42,3,4,"01/23/88 00:00:00","05/30/89 00:00:00"
4,6,56,3,4,"06/01/89 00:00:00","11/05/92 00:00:00"
5,6,119,4,4,"01/23/88 00:00:00","11/05/92 00:00:00"
6,6,38,5,4,"01/23/88 00:00:00","11/05/92 00:00:00"
7,6,212,6,4,"01/23/88 00:00:00","11/05/92 00:00:00"
8,7,5,2,4,"02/03/93 00:00:00","12/03/97 00:00:00"
9,7,328,3,4,"02/03/93 00:00:00","10/05/95 00:00:00"
10,7,72,3,4,"10/06/95 00:00:00","12/03/97 00:00:00"
11,7,167,4,4,"02/03/93 00:00:00","12/03/97 00:00:00"
12,7,235,5,4,"02/03/93 00:00:00","12/03/97 00:00:00"
13,7,60,6,4,"02/03/93 00:00:00","12/03/97 00:00:00"
14,7,247,7,4,"02/03/93 00:00:00","12/03/97 00:00:00"
15,7,172,8,4,"02/03/93 00:00:00","12/03/97 00:00:00"
16,7,15,9,4,"11/04/95 00:00:00","12/03/97 00:00:00"
17,8,174,2,4,"01/09/98 00:00:00","11/25/02 00:00:00"
18,8,2,3,4,"01/09/98 00:00:00","11/25/02 00:00:00"
19,8,75,4,4,"01/09/98 00:00:00","11/25/02 00:00:00"
20,8,97,5,4,"01/09/98 00:00:00","11/25/02 00:00:00"
21,8,124,6,4,"01/09/98 00:00:00","11/25/02 00:00:00"
22,8,342,7,4,"01/09/98 00:00:00","11/25/02 00:00:00"
23,8,125,8,4,"01/09/98 00:00:00","05/15/99 00:00:00"
24,8,307,8,4,"05/16/99 00:00:00","11/25/02 00:00:00"
25,8,73,9,4,"01/09/98 00:00:00","11/25/02 00:00:00"
26,8,287,10,4,"01/09/98 00:00:00","11/25/02 00:00:00"
27,8,492,11,4,"01/09/98 00:00:00","11/25/02 00:00:00"
28,8,426,12,4,"01/09/98 00:00:00","11/25/02 00:00:00"
29,9,403,4,4,"01/05/03 00:00:00",""
30,9,394,5,4,"01/05/03 00:00:00",""
31,9,505,6,4,"01/05/03 00:00:00",""
32,9,342,7,4,"01/05/03 00:00:00",""
33,9,317,8,4,"01/05/03 00:00:00",""
34,9,392,9,4,"01/05/03 00:00:00","03/18/05 00:00:00"
35,9,427,9,4,"03/19/05 00:00:00",""
36,9,360,10,4,"01/05/03 00:00:00",""
37,9,336,13,4,"01/05/03 00:00:00",""
38,6,27,0,2,"01/23/88 00:00:00","11/05/92 00:00:00"
39,6,66,0,2,"01/23/88 00:00:00","11/05/92 00:00:00"
40,6,199,0,2,"01/23/88 00:00:00","04/24/89 00:00:00"
41,6,203,0,2,"04/24/89 00:00:00","11/05/92 00:00:00"
42,7,129,0,2,"02/03/93 00:00:00","12/03/97 00:00:00"
43,7,229,0,2,"02/03/93 00:00:00","12/03/97 00:00:00"
44,7,262,0,2,"02/03/93 00:00:00","12/03/97 00:00:00"
45,7,295,0,2,"02/03/93 00:00:00","02/03/95 00:00:00"
46,7,284,0,2,"02/04/95 00:00:00","12/03/97 00:00:00"
47,8,96,0,2,"01/09/98 00:00:00","11/25/02 00:00:00"
48,8,192,0,2,"01/09/98 00:00:00","11/25/02 00:00:00"
49,8,285,0,2,"01/09/98 00:00:00","11/25/02 00:00:00"
50,8,342,0,2,"01/09/98 00:00:00","11/25/02 00:00:00"
51,9,130,0,2,"01/05/03 00:00:00","04/09/05 00:00:00"
52,9,268,0,2,"01/05/03 00:00:00",""
53,9,314,0,2,"01/05/03 00:00:00",""
54,9,391,0,2,"01/05/03 00:00:00","09/14/06 00:00:00"
55,9,164,0,2,"04/10/05 00:00:00",""
56,9,396,0,2,"09/15/06 00:00:00",""
57,6,58,1,3,"01/23/88 00:00:00","11/05/92 00:00:00"
58,6,28,2,3,"01/23/88 00:00:00","11/05/92 00:00:00"
59,6,31,3,3,"01/23/88 00:00:00","11/05/92 00:00:00"
60,6,118,4,3,"01/23/88 00:00:00","04/14/90 00:00:00"
61,6,168,4,3,"04/15/90 00:00:00","11/05/92 00:00:00"
62,6,213,5,3,"01/23/88 00:00:00","11/05/92 00:00:00"
63,6,124,6,3,"01/23/88 00:00:00","11/05/92 00:00:00"
64,7,174,2,3,"02/03/93 00:00:00","12/03/97 00:00:00"
65,7,248,3,3,"02/03/93 00:00:00","12/03/97 00:00:00"
66,7,69,4,3,"02/03/93 00:00:00","11/04/95 00:00:00"
67,7,283,4,3,"11/05/95 00:00:00","12/03/97 00:00:00"
68,7,191,5,3,"02/03/93 00:00:00","12/03/97 00:00:00"
69,7,122,6,3,"02/03/93 00:00:00","12/03/97 00:00:00"
70,7,263,7,3,"02/03/93 00:00:00","12/03/97 00:00:00"
71,7,289,8,3,"02/03/93 00:00:00","07/29/96 00:00:00"
72,7,333,8,3,"07/30/96 00:00:00","12/03/97 00:00:00"
73,7,167,9,3,"11/04/95 00:00:00","12/03/97 00:00:00"
74,7,254,10,3,"06/24/96 00:00:00","12/03/97 00:00:00"
75,8,304,2,3,"01/09/98 00:00:00","11/25/02 00:00:00"
76,8,472,3,3,"01/09/98 00:00:00","11/25/02 00:00:00"
77,8,390,4,3,"01/09/98 00:00:00","11/25/02 00:00:00"
78,8,434,5,3,"01/09/98 00:00:00","12/12/01 00:00:00"
79,8,486,5,3,"12/13/01 00:00:00","11/25/02 00:00:00"
80,8,169,6,3,"01/09/98 00:00:00","11/25/02 00:00:00"
81,8,445,7,3,"01/09/98 00:00:00","11/25/02 00:00:00"
82,8,340,8,3,"01/09/98 00:00:00","11/25/02 00:00:00"
83,8,375,9,3,"01/09/98 00:00:00","11/25/02 00:00:00"
84,8,456,10,3,"01/09/98 00:00:00","11/25/02 00:00:00"
85,8,487,11,3,"01/09/98 00:00:00","11/25/02 00:00:00"
86,8,164,12,3,"01/09/98 00:00:00","11/25/02 00:00:00"
87,9,129,4,3,"01/05/03 00:00:00",""
88,9,175,5,3,"01/05/03 00:00:00","05/15/04 00:00:00"
89,9,468,5,3,"05/16/04 00:00:00","08/08/06 00:00:00"
90,9,497,5,3,"08/09/06 00:00:00",""
91,9,487,6,3,"08/25/06 00:00:00",""
92,9,292,7,3,"01/05/03 00:00:00",""
93,9,307,8,3,"01/05/03 00:00:00",""
94,9,527,9,3,"07/06/04 00:00:00",""
95,9,287,10,3,"01/05/03 00:00:00",""
96,9,487,11,3,"01/05/03 00:00:00","08/25/06 00:00:00"
97,9,436,13,3,"01/05/03 00:00:00",""
98,6,107,1,6,"01/23/88 00:00:00","11/05/92 00:00:00"
99,6,193,2,6,"01/23/88 00:00:00","11/05/92 00:00:00"
100,6,171,3,6,"01/27/88 00:00:00","11/05/92 00:00:00"
101,6,147,4,6,"01/23/88 00:00:00","11/05/92 00:00:00"
102,6,146,5,6,"01/23/88 00:00:00","12/06/91 00:00:00"
103,6,175,5,6,"12/07/91 00:00:00","11/05/92 00:00:00"
104,6,92,6,6,"01/23/88 00:00:00","11/05/92 00:00:00"
105,7,261,2,6,"02/03/93 00:00:00","12/03/97 00:00:00"
106,7,375,3,6,"02/03/93 00:00:00","12/03/97 00:00:00"
107,7,320,4,6,"02/03/93 00:00:00","12/03/97 00:00:00"
108,7,268,5,6,"02/03/93 00:00:00","12/03/97 00:00:00"
109,7,138,6,6,"02/03/93 00:00:00","12/03/97 00:00:00"
110,7,342,7,6,"02/03/93 00:00:00","12/03/97 00:00:00"
111,7,376,8,6,"02/03/93 00:00:00","12/03/97 00:00:00"
112,7,194,9,6,"11/04/95 00:00:00","12/03/97 00:00:00"
113,8,196,2,6,"01/09/98 00:00:00","11/25/02 00:00:00"
114,8,354,3,6,"01/09/98 00:00:00","11/25/02 00:00:00"
115,8,137,4,6,"01/09/98 00:00:00","11/25/02 00:00:00"
116,8,327,5,6,"01/09/98 00:00:00","11/25/02 00:00:00"
117,8,130,6,6,"01/09/98 00:00:00","11/25/02 00:00:00"
118,8,361,7,6,"01/09/98 00:00:00","11/25/02 00:00:00"
119,8,309,8,6,"01/09/98 00:00:00","11/25/02 00:00:00"
120,8,266,9,6,"01/09/98 00:00:00","11/25/02 00:00:00"
121,8,363,10,6,"01/09/98 00:00:00","06/12/00 00:00:00"
122,8,410,10,6,"06/13/00 00:00:00","11/25/02 00:00:00"
123,9,516,4,6,"01/05/03 00:00:00","05/12/04 00:00:00"
124,9,397,4,6,"05/13/04 00:00:00",""
125,9,355,5,6,"01/05/03 00:00:00",""
126,9,124,6,6,"01/05/03 00:00:00",""
127,9,433,7,6,"01/05/03 00:00:00",""
128,9,517,8,6,"11/26/06 00:00:00",""
129,9,448,8,6,"01/05/03 00:00:00","11/25/06 00:00:00"
130,9,248,9,6,"01/05/03 00:00:00",""
131,9,425,10,6,"01/05/03 00:00:00",""
132,9,472,13,6,"01/05/03 00:00:00",""
133,6,10,0,1,"01/23/88 00:00:00","11/05/92 00:00:00"
134,7,50,0,1,"02/03/93 00:00:00","02/02/97 00:00:00"
135,7,75,0,1,"02/03/97 00:00:00","12/03/97 00:00:00"
136,8,397,0,1,"01/09/98 00:00:00","11/25/02 00:00:00"
137,9,75,0,1,"01/05/03 00:00:00",""
138,6,98,1,5,"01/23/88 00:00:00","11/05/92 00:00:00"
139,6,87,2,5,"01/23/88 00:00:00","07/07/90 00:00:00"
140,6,93,2,5,"07/08/90 00:00:00","11/05/92 00:00:00"
141,6,73,3,5,"01/23/88 00:00:00","11/05/92 00:00:00"
142,6,133,4,5,"01/23/88 00:00:00","11/05/92 00:00:00"
143,6,84,5,5,"01/23/88 00:00:00","11/05/92 00:00:00"
144,6,153,6,5,"01/23/88 00:00:00","08/08/89 00:00:00"
145,6,169,6,5,"08/09/89 00:00:00","11/05/92 00:00:00"
146,7,304,2,5,"02/03/93 00:00:00","12/03/97 00:00:00"
147,7,354,3,5,"02/03/93 00:00:00","12/03/97 00:00:00"
148,7,209,4,5,"02/03/93 00:00:00","12/03/97 00:00:00"
149,7,327,5,5,"02/03/93 00:00:00","10/11/96 00:00:00"
150,7,385,5,5,"10/12/96 00:00:00","12/03/97 00:00:00"
151,7,169,6,5,"02/03/93 00:00:00","12/03/97 00:00:00"
152,7,371,7,5,"02/03/93 00:00:00","12/03/97 00:00:00"
153,7,192,8,5,"02/03/93 00:00:00","12/03/97 00:00:00"
154,7,272,9,5,"11/04/95 00:00:00","12/03/97 00:00:00"
155,8,353,2,5,"01/09/98 00:00:00","11/25/02 00:00:00"
156,8,463,3,5,"01/09/98 00:00:00","11/25/02 00:00:00"
157,8,167,4,5,"01/09/98 00:00:00","11/25/00 00:00:00"
158,8,168,4,5,"11/26/00 00:00:00","11/25/02 00:00:00"
159,8,194,5,5,"01/09/98 00:00:00","11/25/02 00:00:00"
160,8,149,6,5,"01/09/98 00:00:00","11/25/02 00:00:00"
161,8,421,7,5,"01/09/98 00:00:00","11/25/02 00:00:00"
162,8,441,8,5,"01/09/98 00:00:00","11/25/02 00:00:00"
163,8,284,9,5,"01/09/98 00:00:00","11/25/02 00:00:00"
164,8,412,10,5,"01/09/98 00:00:00","11/25/02 00:00:00"
165,9,314,4,5,"07/25/06 00:00:00",""
166,9,327,5,5,"01/05/03 00:00:00",""
167,9,407,6,5,"01/05/03 00:00:00",""
168,9,361,7,5,"01/05/03 00:00:00",""
169,9,267,8,5,"01/05/03 00:00:00",""
170,9,444,9,5,"01/05/03 00:00:00",""
171,9,320,10,5,"01/05/03 00:00:00",""
172,9,491,11,5,"01/05/03 00:00:00",""
173,9,257,13,5,"01/05/03 00:00:00","05/18/05 00:00:00"
174,9,354,13,5,"05/19/05 00:00:00",""
