seating_id,parliament_id,session_id,session_date_start,session_date_end,seating_type,seating_begin_date,seating_begin_time,seating_end_date,seating_end_time
1,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"01/23/88 00:00:00","12/30/99 09:41:00","01/23/88 00:00:00","12/30/99 12:59:00"
2,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"01/25/88 00:00:00","12/30/99 09:49:00","01/25/88 00:00:00","12/30/99 12:31:00"
3,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",2,"01/25/88 00:00:00","12/30/99 15:15:00","01/25/88 00:00:00","12/30/99 17:46:00"
4,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"01/26/88 00:00:00","12/30/99 09:48:00","01/26/88 00:00:00","12/30/99 12:38:00"
5,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",2,"01/26/88 00:00:00","12/30/99 15:02:00","01/26/88 00:00:00","12/30/99 18:14:00"
6,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"01/27/88 00:00:00","12/30/99 09:31:00","01/27/88 00:00:00","12/30/99 12:59:00"
7,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"02/01/88 00:00:00","12/30/99 09:33:00","02/01/88 00:00:00","12/30/99 12:09:00"
8,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",2,"02/01/88 00:00:00","12/30/99 15:02:00","02/01/88 00:00:00","12/30/99 17:44:00"
9,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"02/02/88 00:00:00","12/30/99 09:38:00","02/02/88 00:00:00","12/30/99 12:03:00"
10,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",2,"02/02/88 00:00:00","12/30/99 15:07:00","02/02/88 00:00:00","12/30/99 18:21:00"
11,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"02/03/88 00:00:00","12/30/99 09:47:00","02/03/88 00:00:00","12/30/99 12:20:00"
12,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"02/08/88 00:00:00","12/30/99 09:46:00","02/08/88 00:00:00","12/30/99 12:11:00"
13,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",2,"02/08/88 00:00:00","12/30/99 15:14:00","02/08/88 00:00:00","12/30/99 17:55:00"
14,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"02/09/88 00:00:00","12/30/99 09:37:00","02/09/88 00:00:00","12/30/99 12:55:00"
15,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",2,"02/09/88 00:00:00","12/30/99 15:03:00","02/09/88 00:00:00","12/30/99 18:02:00"
16,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"02/10/88 00:00:00","12/30/99 09:46:00","02/10/88 00:00:00","12/30/99 12:13:00"
17,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"02/15/88 00:00:00","12/30/99 09:49:00","02/15/88 00:00:00","12/30/99 12:29:00"
18,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",2,"02/15/88 00:00:00","12/30/99 15:02:00","02/15/88 00:00:00","12/30/99 17:50:00"
19,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"02/16/88 00:00:00","12/30/99 09:38:00","02/16/88 00:00:00","12/30/99 12:51:00"
20,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",2,"02/16/88 00:00:00","12/30/99 15:12:00","02/16/88 00:00:00","12/30/99 18:09:00"
21,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"02/17/88 00:00:00","12/30/99 09:37:00","02/17/88 00:00:00","12/30/99 12:17:00"
22,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",1,"02/22/88 00:00:00","12/30/99 09:45:00","02/22/88 00:00:00","12/30/99 12:44:00"
23,6,1,"01/23/88 00:00:00","04/28/88 00:00:00",2,"02/22/88 00:00:00","12/30/99 15:03:00","02/22/88 00:00:00","12/30/99 18:11:00"
