ID,parliament_id,committee_id,committee_creation_date,committee_dissolution_date
1,6,1,"01/30/88 00:00:00","11/05/92 00:00:00"
2,6,2,"01/30/88 00:00:00","11/05/92 00:00:00"
3,6,3,"01/30/88 00:00:00","11/05/92 00:00:00"
4,6,4,"01/30/88 00:00:00","11/05/92 00:00:00"
5,6,5,"01/30/88 00:00:00","11/05/92 00:00:00"
6,6,6,"01/30/88 00:00:00","11/05/92 00:00:00"
7,6,7,"01/30/88 00:00:00","06/05/89 00:00:00"
8,6,7,"06/25/89 00:00:00","06/09/90 00:00:00"
9,6,7,"06/15/90 00:00:00","06/15/91 00:00:00"
10,6,7,"06/12/91 00:00:00","11/05/92 00:00:00"
11,6,8,"01/30/88 00:00:00","06/05/89 00:00:00"
12,6,8,"06/25/89 00:00:00","06/09/90 00:00:00"
13,6,8,"06/15/90 00:00:00","06/15/91 00:00:00"
14,6,8,"06/12/91 00:00:00","11/05/92 00:00:00"
15,7,1,"02/10/93 00:00:00","12/03/97 00:00:00"
16,7,2,"02/10/93 00:00:00","12/03/97 00:00:00"
17,7,3,"02/10/93 00:00:00","12/03/97 00:00:00"
18,7,4,"02/03/93 00:00:00","12/03/97 00:00:00"
19,7,7,"02/09/93 00:00:00","06/05/94 00:00:00"
20,7,7,"06/10/94 00:00:00","06/09/95 00:00:00"
21,7,7,"06/14/95 00:00:00","06/12/96 00:00:00"
22,7,7,"06/17/96 00:00:00","12/03/97 00:00:00"
23,7,8,"02/09/93 00:00:00","06/05/94 00:00:00"
24,7,8,"06/10/94 00:00:00","06/09/95 00:00:00"
25,7,8,"06/14/95 00:00:00","06/12/96 00:00:00"
26,7,8,"06/17/96 00:00:00","12/03/97 00:00:00"
27,7,9,"02/10/93 00:00:00","12/03/97 00:00:00"
28,7,10,"02/03/93 00:00:00","12/03/97 00:00:00"
29,8,1,"01/17/98 00:00:00","11/25/02 00:00:00"
30,8,2,"01/30/88 00:00:00","11/25/02 00:00:00"
31,8,3,"01/17/98 00:00:00","11/25/02 00:00:00"
32,8,4,"01/17/98 00:00:00","11/25/02 00:00:00"
33,8,7,"01/15/98 00:00:00","06/12/99 00:00:00"
34,8,7,"06/17/99 00:00:00","06/15/00 00:00:00"
35,8,7,"06/20/00 00:00:00","06/19/01 00:00:00"
36,8,7,"06/24/01 00:00:00","11/25/02 00:00:00"
37,8,8,"01/15/98 00:00:00","06/12/99 00:00:00"
38,8,8,"06/17/99 00:00:00","06/15/00 00:00:00"
39,8,8,"06/20/00 00:00:00","06/19/01 00:00:00"
40,8,8,"06/24/01 00:00:00","11/25/02 00:00:00"
41,8,11,"01/17/98 00:00:00","01/25/02 00:00:00"
42,8,12,"01/17/98 00:00:00","11/25/02 00:00:00"
43,8,13,"02/05/00 00:00:00","11/25/02 00:00:00"
44,9,1,"01/05/03 00:00:00",""
45,9,2,"01/05/03 00:00:00",""
46,9,3,"01/05/03 00:00:00",""
47,9,4,"01/05/03 00:00:00",""
48,9,7,"01/21/03 00:00:00","06/09/04 00:00:00"
49,9,7,"06/14/04 00:00:00","06/13/05 00:00:00"
50,9,7,"06/18/05 00:00:00","06/17/06 00:00:00"
51,9,7,"06/22/06 00:00:00",""
52,9,8,"01/21/03 00:00:00","06/09/04 00:00:00"
53,9,8,"06/14/04 00:00:00","06/13/05 00:00:00"
54,9,8,"06/18/05 00:00:00","06/17/06 00:00:00"
55,9,8,"06/22/06 00:00:00",""
56,9,14,"01/05/03 00:00:00",""
57,9,15,"01/05/03 00:00:00","02/03/07 00:00:00"
58,9,16,"01/21/07 00:00:00",""
59,9,18,"01/21/07 00:00:00",""
