ID,ministry_id,parliament_id,person_id,person_date_join,person_date_leave,persons_leave_reason
1,1,6,1,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
2,2,6,40,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
3,3,6,42,"01/23/88 00:00:00","05/30/89 00:00:00","resignation from Parliament"
4,3,6,65,"06/06/89 00:00:00","02/03/93 00:00:00","end mandate"
5,4,6,51,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
6,5,6,67,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
7,6,6,70,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
8,7,6,77,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
9,8,6,92,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
10,9,6,95,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
11,10,6,157,"01/23/88 00:00:00","02/13/91 00:00:00","resignation from Government"
12,10,6,170,"02/17/91 00:00:00","02/03/93 00:00:00","end mandate"
13,11,6,158,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
14,12,6,190,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
15,13,6,191,"01/23/88 00:00:00","08/03/90 00:00:00","resignation from Government"
16,13,6,228,"08/23/90 00:00:00","02/03/93 00:00:00","end mandate"
17,14,6,192,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
18,15,6,195,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
19,16,6,199,"01/23/88 00:00:00","04/24/89 00:00:00","death"
20,16,6,6,"04/29/89 00:00:00","02/03/93 00:00:00","end mandate"
21,17,6,201,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
22,18,6,218,"01/23/88 00:00:00","02/03/93 00:00:00","end mandate"
23,1,7,27,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
24,2,7,29,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
25,3,7,62,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
26,4,7,63,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
27,5,7,99,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
28,6,7,122,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
29,7,7,129,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
30,8,7,149,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
31,9,7,150,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
32,10,7,159,"02/03/93 00:00:00","08/10/96 00:00:00","death"
33,10,7,301,"08/11/96 00:00:00","01/09/98 00:00:00","end mandate"
34,11,7,167,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
35,12,7,175,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
36,13,7,172,"02/03/93 00:00:00","07/29/96 00:00:00","death"
37,13,7,309,"07/29/96 00:00:00","01/09/98 00:00:00","end mandate"
38,14,7,176,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
39,15,7,177,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
40,16,7,178,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
41,17,7,191,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
42,18,7,192,"02/03/93 00:00:00","01/09/98 00:00:00","end mandate"
43,19,7,175,"02/10/96 00:00:00","01/09/98 00:00:00","end mandate"
44,20,7,387,"02/10/96 00:00:00","01/09/98 00:00:00","end mandate"
45,1,8,15,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
46,2,8,166,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
47,3,8,169,"01/09/98 00:00:00","03/05/99 00:00:00","death"
48,3,8,482,"03/05/99 00:00:00","01/05/03 00:00:00","end mandate"
49,4,8,175,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
50,5,8,229,"01/09/98 00:00:00","03/09/02 00:00:00","resignation from Parliament"
51,5,8,493,"03/09/02 00:00:00","01/05/03 00:00:00","end mandate"
52,6,8,231,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
53,7,8,248,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
54,8,8,249,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
55,9,8,259,"01/09/98 00:00:00","04/28/00 00:00:00","death"
56,9,8,485,"04/28/00 00:00:00","01/05/03 00:00:00","end mandate"
57,10,8,284,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
58,11,8,286,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
59,13,8,320,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
60,14,8,361,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
61,15,8,411,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
62,16,8,435,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
63,17,8,438,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
64,18,8,457,"01/09/98 00:00:00","04/18/02 00:00:00","resignation from Parliament"
65,18,8,486,"04/18/02 00:00:00","01/05/03 00:00:00","end mandate"
66,19,8,458,"01/09/98 00:00:00","08/03/01 00:00:00","death"
67,19,8,490,"08/03/01 00:00:00","01/05/03 00:00:00","end mandate"
68,20,8,480,"01/09/98 00:00:00","01/05/03 00:00:00","end mandate"
69,21,8,481,"03/13/00 00:00:00","01/05/03 00:00:00","end mandate"
70,1,9,168,"01/05/03 00:00:00","","end mandate"
71,2,9,423,"01/05/03 00:00:00","07/07/06 00:00:00","death"
72,2,9,527,"07/07/06 00:00:00","","end mandate"
73,3,9,268,"01/05/03 00:00:00","08/18/06 00:00:00","resignation from Government"
74,3,9,329,"08/28/06 00:00:00","","end mandate"
75,4,9,306,"01/05/03 00:00:00","","end mandate"
76,5,9,329,"01/05/03 00:00:00","","end mandate"
77,6,9,393,"01/05/03 00:00:00","","end mandate"
78,7,9,399,"01/05/03 00:00:00","","end mandate"
79,8,9,408,"01/05/03 00:00:00","07/25/05 00:00:00","resignation from Government"
80,8,9,413,"07/25/05 00:00:00","","end mandate"
81,9,9,415,"01/05/03 00:00:00","","end mandate"
82,10,9,424,"01/05/03 00:00:00","","end mandate"
83,11,9,426,"01/05/03 00:00:00","08/18/03 00:00:00","death"
84,11,9,103,"08/18/03 00:00:00","","end mandate"
85,13,9,441,"01/05/03 00:00:00","","end mandate"
86,14,9,450,"01/05/03 00:00:00","","end mandate"
87,15,9,451,"01/05/03 00:00:00","09/14/05 00:00:00","resignation from Government"
88,15,9,500,"09/14/05 00:00:00","","end mandate"
89,16,9,486,"01/05/03 00:00:00","","end mandate"
90,17,9,501,"01/05/03 00:00:00","","end mandate"
91,18,9,509,"01/05/03 00:00:00","","end mandate"
92,19,9,517,"01/05/03 00:00:00","","end mandate"
93,20,9,521,"01/05/03 00:00:00","","end mandate"
