31,"PM","Prime Minister","Leader of Government Business",02/23/88 12:00 AM,02/03/93 12:00 AM,"ministry"
61,"PM","Prime Minister","Leader of Government Business",02/03/93 12:00 AM,01/09/98 12:00 AM,"ministry"
91,"PM","Prime Minister","Leader of Government Business",01/09/98 12:00 AM,01/05/03 12:00 AM,"ministry"
121,"PM","Prime Minister","Leader of Government Business",01/05/03 12:00 AM,,"ministry"
32,"DPM","Deputy Prime Minister","Deputy Leader of Government Business",02/23/88 12:00 AM,02/03/93 12:00 AM,"ministry"
62,"DPM","Deputy Prime Minister","Deputy Leader of Government Business",02/03/93 12:00 AM,01/09/98 12:00 AM,"ministry"
92,"DPM","Deputy Prime Minister","Deputy Leader of Government Business",01/09/98 12:00 AM,01/05/03 12:00 AM,"ministry"
122,"DPM","Deputy Prime Minister","Deputy Leader of Government Business",01/05/03 12:00 AM,,"ministry"
33,"MA","Ministry of Agriculture","Agricultural Policy and Services and National Food Policy.",02/23/88 12:00 AM,02/03/93 12:00 AM,"ministry"
63,"MA","Ministry of Agriculture","Agricultural Policy and Services and National Food Policy.",02/03/93 12:00 AM,01/09/98 12:00 AM,"ministry"
93,"MA","Ministry of Agriculture","Agricultural Policy and Services and National Food Policy.",01/09/98 12:00 AM,01/05/03 12:00 AM,"ministry"
123,"MA","Ministry of Agriculture","Agricultural Policy and Services and National Food Policy.",01/05/03 12:00 AM,06/27/05 12:00 AM,"ministry"
34,"ME","Ministry of Education","Inspection and supervision of educational institutions and all educational issues.",02/23/88 12:00 AM,02/03/93 12:00 AM,"ministry"
64,"ME","Ministry of Education","Inspection and supervision of educational institutions and all educational issues.",02/03/93 12:00 AM,01/09/98 12:00 AM,"ministry"
94,"ME","Ministry of Education","Inspection and supervision of educational institutions and all educational issues.",01/09/98 12:00 AM,01/05/03 12:00 AM,"ministry"
124,"ME","Ministry of Education","Inspection and supervision of educational institutions and all educational issues.",01/05/03 12:00 AM,,"ministry"
35,"MENRW","Ministry of Environment , Natural Resources& Wildlife","All environmental issues, Conservation, Resource survey & Remote Sensing and Forest Reserve.",02/23/88 12:00 AM,02/03/93 12:00 AM,"ministry"
65,"MENRW","Ministry of Environment , Natural Resources& Wildlife","All environmental issues, Conservation, Resource survey & Remote Sensing and Forest Reserve.",02/03/93 12:00 AM,01/09/98 12:00 AM,"ministry"
95,"MENRW","Ministry of Environment , Natural Resources& Wildlife","All environmental issues, Conservation, Resource survey & Remote Sensing and Forest Reserve.",01/09/98 12:00 AM,01/05/03 12:00 AM,"ministry"
125,"MENRW","Ministry of Environment , Natural Resources& Wildlife","All environmental issues, Conservation, Resource survey & Remote Sensing and Forest Reserve.",01/05/03 12:00 AM,,"ministry"
36,"MF","Ministry of Finance","Financial policies, national budget, government expenditure and borrowing.",02/23/88 12:00 AM,02/03/93 12:00 AM,"ministry"
66,"MF","Ministry of Finance","Financial policies, national budget, government expenditure and borrowing.",02/03/93 12:00 AM,01/09/98 12:00 AM,"ministry"
96,"MF","Ministry of Finance","Financial policies, national budget, government expenditure and borrowing.",01/09/98 12:00 AM,01/05/03 12:00 AM,"ministry"
126,"MF","Ministry of Finance","Financial policies, national budget, government expenditure and borrowing.",01/05/03 12:00 AM,,"ministry"
37,"MH","Ministry of Health","All health issues, dispensary ,trainings and HIV control.",02/23/88 12:00 AM,02/03/93 12:00 AM,"ministry"
67,"MH","Ministry of Health","All health issues, dispensary ,trainings and HIV control.",02/03/93 12:00 AM,01/09/98 12:00 AM,"ministry"
