ID,person_id,costituency_ID,parliament_id,MP_date_join,MP_date_leave,MP_leave_reason
1,16,0,6,"01/23/88 00:00:00","12/12/91 00:00:00","resignation"
2,31,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
3,41,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
4,62,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
5,78,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
6,92,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
7,101,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
8,113,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
9,129,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
10,130,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
11,146,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
12,156,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
13,176,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
14,189,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
15,190,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
16,209,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
17,219,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
18,225,0,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
19,100,1,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
20,220,2,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
21,167,3,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
22,185,4,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
23,173,5,6,"01/23/88 00:00:00","10/10/90 00:00:00","death"
24,93,6,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
25,54,7,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
26,52,8,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
27,170,9,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
28,40,10,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
29,202,11,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
30,174,12,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
31,121,13,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
32,195,14,6,"01/23/88 00:00:00","11/05/92 00:00:00","end mandate"
