4034,9,417,en,Implementation of the Single Euro Payments Area (SEPA),,"<ol>
<li>having regard to the joint statement from the Commission and the European Central Bank of 4 May 2006 on the Single Euro Payments Area,</li>
<li>having regard to the European Central Bank Occasional Paper No 71 of August 2007 on the economic impact of the Single Euro Payments Area,</li>
<li>having regard to Directive 2007/64/EC of the European Parliament and of the Council of 13 November 2007 on payment services in the internal market(1) (Payment Services Directive),</li>
<li>having regard to the Commission proposal of 13 October 2008 for a regulation of the European Parliament and of the Council on cross-border payments in the Community (COM(2008)0640),</li>
<li>having regard to the sixth SEPA Progress Report of the European Central Bank of November 2008,</li>
<li>having regard to Rule 108(5) of its Rules of Procedure,</li>
</ol>
</li>",,draft,,t,motion
4036,9,417,en,"Reports of the 14th, 15th and 16th Sessions of the ACP Parliamentary Assembly",,"<strong>THAT</strong>, this House adopts the Reports of the 14th, 15th and 16th Sessions of the ACP Parliamentary Assembly and the 16th and 17th ACP-EU Joint Parliamentary Assembly (JPA) Meetings held in November 2008, Port Moresby, Papua New Guinea; February 2009, Brussels, Belgium and April 2009 in Prague, Czech Republic laid on the Table of the House on Wednesday, 3rd June, 2009.",,draft,,t,motion
4041,9,417,en,REcruiting Police Officers,,"<strong>THAT</strong>, aware that in recruiting officers for the disciplined forces, the following height requirements apply: Armed Forces - 5ft 3” (both men and women), Policemen – 5ft 9”; Policewomen – 5ft 3”; Administration Policemen – 5ft 8”; Administration Policewomen – 5ft 3” and concerned that this<br>requirement is discriminative and is not within any legal framework; this House urges the Government to dispense with this requirement in order to allow for equitable recruitment of all Kenyans who meet other minimum requirements.",,draft,,t,motion
4033,9,417,en,Resolution on the input to the Spring 2009 European Council in relation to the Lisbon Strategy,,"<ol>
<li>having regard to the Commission communication entitled 'Implementation report for the Community Lisbon Programme 2008-2010'(1) and country-specific recommendations,</li>
<li>having regard to the 27 National Lisbon Reform Programmes, as presented by the Member States,</li>
<li>having regard to the Commission communication entitled 'The European Interest: Succeeding in the age of globalisation'(2),</li>
<li>having regard to the Commission communication on progress in implementing the single market review,</li>
<li>having regard to the Commission communication entitled 'Reporting on market access and setting the framework for more effective international regulatory cooperation'(3),</li>
<li>having regard to the Commission communication entitled 'An updated strategic framework for European cooperation in education and training'(4),</li>
<li>having regard to the Commission communication entitled 'New Skills for New Jobs&nbsp; Anticipating and matching labour market and skills needs'(5),</li>
<li>having regard to the Commission communication entitled 'Cohesion policy: investing in the real economy'(6),</li>
<li>having regard to the Commission communication entitled 'A European economic recovery plan'(7),</li>
<li>having regard to the Commission proposal for a regulation of the European Parliament and of the Council amending Regulation (EC) 1927/2006 on establishing the Globalisation Adjustment Fund(8),</li>
<li>having regard to the European Council's conclusions of March 2000, March 2001, March 2005, October 2005, March 2006, March 2007 and March 2008,</li>
<li>having regard to its resolution of 15 November 2007 on the European Interest: succeeding in the age of globalisation(9),</li>
<li>having regard to its resolution of 20 February 2008 on the Integrated Guidelines for Growth and Jobs (Part: broad guidelines for the economic policies of the PlaceNameplaceMemberPlaceType States and the Community): Launching the new cycle (2008-2010)(10),</li>
<li>having regard to its resolution of 18 November 2008 on the EMU@10: The first ten years of Economic and Monetary Union and future challenges(11),</li>
<li>having regard to Rule 103(2) of its Rules of Procedure,</li>
</ol>
</li>",,draft,,t,motion
4035,9,417,en,Report of the Departmental Committee on Administration of Justice and Legal Affairs,,"<strong>THAT</strong>, this House adopts the Report of the Departmental Committee on Administration of Justice and Legal Affairs on the Nomination of Commissioners to the Truth, Justice and Reconciliation Commission laid on the Table of the House on Thursday, May 28, 2009.",,draft,,t,motion
4037,9,417,en,Retirement Benefits Law,,"<strong>THAT</strong>, in view of the suffering occasioned by the retirement benefits law to employees by prohibiting them from accessing their contributions and that those of their employers upon leaving employment before the mandatory retirement age and in view of the fact that the Government has now extended the retirement age of its employees to sixty years and those who have left employment before the mandatory retirement age will have to wait for an even longer period before accessing their contributions; this House resolves that the Government lifts the restriction under the Retirement Benefits Act in respect of occupational schemes to enable a member leaving employment after three years of membership to be entitled thereupon to a refund of his or her contribution together with investment income accrued thereon and payment of the employer’s contribution together with investment income accrued thereon, and for matters incidental thereto and connected therewith.",,draft,,t,motion
4042,9,417,en,Government to increase budgetary allocation to public primary and secondary schools for enhanced quality of education.,,"<strong>THAT</strong>, aware that children attending private academies in the country have continuously taken up most of the opportunities in prestigious national learning institutions and secured the most marketable courses in the universities as a result of high quality education facilities; concerned that public schools lack requisite facilities and manpower to quarantee quality education; appreciating the need to improve education for children from poor backgrounds in order to achieve equity; this House urges the government to increase budgetary allocation to public primary and secondary schools for enhanced quality of education.",,draft,,t,motion
4040,9,417,en,Presidential Appointment,,"THAT, aware that Section 58(1) of the Constitution of Kenya provides that each session of Parliament shall be held at such place within Kenya and shall commence at such time as the President may appoint; considering the growing public urge and the need to take Parliament to the people; cognizant of the fact that parliamentarians represent the aspirations of the entire country; conscious of the need for Members to have a first-hand account of the regional development challenges and problems that local people are faced with on a daily basis, this House urges the President to appoint venues for sessions on rotational basis.",,draft,,t,motion
4043,9,417,en,Great Lakes Parliamentary Forum (AMANI Forum),,"<strong>THAT</strong>, appreciating the role played by the Great Lakes Parliamentary Forum (AMANI Forum) in building the capacities of Members of Parliament in<br>peace building and conflict management in Kenya and within the Great Lakes Region and the Horn of Africa: considering that participation of Kenya Members of Parliament in regional and national AMANI Forum activities has significantly enriched debates in the House, informed committee deliberations, and created strategic linkages between Parliament and other actors in society; convinced on the need to mainstream peace building and conflict management aspects within the National Assembly of Kenya as the country emerges from post-election violence and is undertaking deliberate measures to promote reconciliation and national healing; aware that this is the only legislature in the region that has not given due recognition to this strategic regional organization; this House resolves that AMANI Forum Kenya Chapter be officially recognized as a parliamentary organization within the National Assembly of Kenya.",,draft,,t,motion
4044,9,417,en,Leases for land in settlement schemes ranging from 99 to 999 years ,,"<strong>THAT</strong>, aware that the Government has granted leases for land in settlement schemes ranging from 99 to 999 years and freehold titles to others in he same localities; appreciating the need to harmonize land tenures in the same area; this House urges the government to adopt a uniform land title policy and converts all the leases for agricultural settlement schemes to freehold titles to facilitate enhanced agricultural output.",,draft,,t,motion
