2013,9,1,en,'Accidental roaming',,"<p align=""justify"">During the discussions on the proposal for a common
regulatory framework for electronic communications networks and
services (COM(2008)0580 – C6-0333/2008 – COD 2008/0187), voters
in my constituency (two regions on the Polish-German border) drew my
attention to the issue of 'accidental roaming'. This is my new sentence. I am the speaker adding a line.</p>
<p align=""justify""><br>
</p>
<p align=""justify"">Accidental roaming involves involuntary connection
to a foreign network when using one's mobile telephone in a border
region. Without crossing the border, inhabitants of such regions can
pick up the signal broadcast by a mobile phone operator in the
neighbouring country and, as a result, pay much higher call, text and
data-transmission charges.</p>
<p align=""justify""><br>
</p>
<p align=""justify"">Is the Commission aware of this problem? What steps
will be taken, or have already been taken, to put an end to this
major inconvenience for mobile phone users in border areas?</p>",2008-05-11,admissible,,f,question
2003,9,579,en, Israel and Palestine,,"<p align=""justify"">What measures will the Council take in order to
support the cessation of the sale of arms to Israel in parallel with
the actions already taken by the EU to prevent arms reaching Hamas?</p>",2004-08-08,draft,,,question
2005,9,584,en,Unemployment in Europe,,"<p align=""justify"">What initiatives is the European Council pursuing at
present to combat youth and long-term unemployment in Europe?</p>",1999-10-24,draft,,,question
4017,9,417,en,Internet safety programme,,Will the Government give precise details of the plan of action and the costs of implementing the ‘Safer Internet’ programme in the coming years? Who is eligible to apply to take part in the programme? How and on what activities will funds from the ‘Safer Internet’ programme be spent?,,draft,,t,question
2043,9,588,en,Communicating with citizens,,"<meta http-equiv=""CONTENT-TYPE"" content=""text/html; charset=utf-8""><title></title><meta name=""GENERATOR"" content=""OpenOffice.org 2.3 (Linux)"">
	
	
	<style type=""text/css"">
	<!--
		@page { size: 8.27in 11.69in; margin: 0.79in }
		TD P { margin-bottom: 0in }
		P { margin-bottom: 0.08in }
	-->
	</style>

<p align=""justify"">Given the importance the Commission has placed on
effective communication with citizens, particularly in the light of
the economic crisis, when many citizens are unsure about the future,
and given that the consultation process is an effective tool in
empowering citizens to input directly into the policy process at EU
level, would the Commission agree that further steps need to be taken
to raise citizens’ awareness of EU consultations via the media and
other appropriate forums at national, regional and local levels in
order to ensure that more individuals and grass-roots organisations
become involved?</p>",1993-06-11,draft,,,question
4028,9,417,en,SMEs and public contracts,,"What is the Commission’s most up-to-date information regarding the percentage of public contracts awarded to SMEs in the EU (e.g. for 2005 and 2006)? More specifically, does it have information concerning the percentage of contracts awarded to medium and small enterprises respectively? Does it have data for each Member State?<br><br>In the United States, a percentage of public contracts may be set aside for SMEs within authorised WTO limits. In view of the WTO talks and the fresh proposals to be made by the Commission, will the European Union seek similar arrangements allowing Member States to set aside a percentage of public contracts for SMEs as recommended by France?",,draft,,t,question
4027,9,417,en,Referendums on the European Constitution ,,"Several EU Member States will be holding referendums in the next few months on the draft European constitution approved at the Council meeting of 17 and 18 June 2004.<br><br>It had been hoped that the referendums would be held on the same day throughout the EU but this now proves to be impossible as we have been overtaken by events.<br><br>However, it may still be feasible to coordinate the actual wording of the question put to voters.<br><br>Does the Council not agree that it is highly desirable that the same question should be put to voters in all the EU Member States holding a referendum on the draft constitution?<br><br>Will the Council take immediate steps to coordinate the arrangements so as to bring this about?",,draft,,t,question
4026,9,417,en,ICT and Information Society ,,"The Commission has put the development of ICT and of the Information Society, which has huge potential benefits for European economy and society, at the heart of its programmes. However, what is the Commission doing to ensure that certain sectors of European society - such as older people and people on low incomes - are not left behind or forgotten in this process?",,draft,,t,question
2052,9,584,en,New Director of Europol,,"<p align=""justify"">It is disgraceful - although not to the public,
which is blissfully unaware of the situation, because the media are
uninterested - that there is currently no Director of Europol, at a
time when organised crime is flourishing merrily across our
continent, because of a dispute between several Member States about
what nationality the new Director should hold.</p>
<p align=""justify""><br>
</p>
<p align=""justify"">What is the Commission doing to have an appointment
made as soon as possible ?</p>",2002-08-08,draft,,,question
4031,9,417,en,Administrative reform of the European institutions ,,"Opinion polls show that citizens see the European institutions as big bureaucratic centres which have a lot of power and are run with a lot of taxpayers’ money. The Prodi Commission began to tackle this problem and Commissioner Kinnock was put in charge of administrative reform of the European institutions.<br><br>Has the ‘Kinnock reform’ even begun? Is it in progress? Or has it perhaps already been completed? And if it has been completed, what effects has it had? In your opinion, how many unnecessary administrative obstacles are there in EU regulations? Do you intend to draw up a programme of measures to combat red tape?",,draft,,t,question
