6,"VI","6th parliament 1988",,"draft",01/23/88,11/05/92,"parliament",,"en"
7,"VII","7th parliament 1993",,"draft",02/03/93,12/03/97,"parliament",,"en"
8,"VIII","8th parliament 1998",,"draft",01/09/98,11/25/02,"parliament",,"en"
9,"IX","9th parliament 2002",,"draft",01/05/03,,"parliament",,"en"
1,"VI","6th government ",,"draft",01/23/88,11/05/92,"government",6,"en"
2,"VII","7th government",,"draft",02/03/93,12/03/97,"government",7,"en"
3,"VIII","8th Government",,"draft",01/09/98,11/25/02,"government",8,"en"
4,"IX","9th Government",,"draft",01/05/03,,"government",9,"en"
31,"PM","Prime Minister","Leader of Government Business","draft",02/23/88,02/03/93,"ministry",1,"en"
32,"DPM","Deputy Prime Minister","Deputy Leader of Government Business","draft",02/23/88,02/03/93,"ministry",1,"en"
33,"MA","Ministry of Agriculture","Agricultural Policy and Services and National Food Policy.","draft",02/23/88,02/03/93,"ministry",1,"en"
34,"ME","Ministry of Education","Inspection and supervision of educational institutions and all educational issues.","draft",02/23/88,02/03/93,"ministry",1,"en"
35,"MENRW","Ministry of Environment , Natural Resources& Wildlife","All environmental issues, Conservation, Resource survey & Remote Sensing and Forest Reserve.","draft",02/23/88,02/03/93,"ministry",1,"en"
36,"MF","Ministry of Finance","Financial policies, national budget, government expenditure and borrowing.","draft",02/23/88,02/03/93,"ministry",1,"en"
37,"MH","Ministry of Health","All health issues, dispensary ,trainings and HIV control.","draft",02/23/88,02/03/93,"ministry",1,"en"
38,"MIC","Ministry of Information and Communications","Dissemination of information to the public, institute of mass communication film development, licensing and Censorship.","draft",02/23/88,02/03/93,"ministry",1,"en"
39,"MJCA","Ministry of Justice and Constitutional Affairs","All constitutional matters, Legal education, integrity and ethics, ECK and judiciary.","draft",02/23/88,02/03/93,"ministry",1,"en"
40,"MLSFD","Ministry of Live Stock and Fisheries Development","Development of fisheries and live stock Industry and  research work on live stock.","draft",02/23/88,02/03/93,"ministry",1,"en"
41,"MLG","Ministry of Local Government","Local Authorities policies, cities, municipalities, towns and county councils oversight, management and development support.","draft",02/23/88,02/03/93,"ministry",1,"en"
42,"MPND","Ministry of Planning and National Development","National development planning, evaluation, economic issues and policies, central bureau of statistic and population censor and development.","draft",02/23/88,02/03/93,"ministry",1,"en"
43,"MRPWH","Ministry of Roads Public Work and Housing","Development and road maintenance & public works planning policy development.","draft",02/23/88,02/03/93,"ministry",1,"en"
44,"MST","Ministry of Science and Technology","Promotion of research, science and technology.","draft",02/23/88,02/03/93,"ministry",1,"en"
45,"MSPS","Ministry of State and Public Services","In charge of Public Service Commission.","draft",02/23/88,02/03/93,"ministry",1,"en"
46,"MSD","Ministry of State for Defense","In charge of National Defense.","draft",02/23/88,02/03/93,"ministry",1,"en"
47,"MSNE","Ministry of State for National Heritage","Social Welfare & Culture, Coordination of volunteer services","draft",02/23/88,02/03/93,"ministry",1,"en"
48,"MTI","Ministry of Trade and Industry","All international and local trade units & development of trade policies.","draft",02/23/88,02/03/93,"ministry",1,"en"
61,"PM","Prime Minister","Leader of Government Business","draft",02/03/93,01/09/98,"ministry",2,"en"
62,"DPM","Deputy Prime Minister","Deputy Leader of Government Business","draft",02/03/93,01/09/98,"ministry",2,"en"
63,"MA","Ministry of Agriculture","Agricultural Policy and Services and National Food Policy.","draft",02/03/93,01/09/98,"ministry",2,"en"
64,"ME","Ministry of Education","Inspection and supervision of educational institutions and all educational issues.","draft",02/03/93,01/09/98,"ministry",2,"en"
65,"MENRW","Ministry of Environment , Natural Resources& Wildlife","All environmental issues, Conservation, Resource survey & Remote Sensing and Forest Reserve.","draft",02/03/93,01/09/98,"ministry",2,"en"
66,"MF","Ministry of Finance","Financial policies, national budget, government expenditure and borrowing.","draft",02/03/93,01/09/98,"ministry",2,"en"
67,"MH","Ministry of Health","All health issues, dispensary ,trainings and HIV control.","draft",02/03/93,01/09/98,"ministry",2,"en"
68,"MIC","Ministry of Information and Communications","Dissemination of information to the public, institute of mass communication film development, licensing and Censorship.","draft",02/03/93,01/09/98,"ministry",2,"en"
69,"MJCA","Ministry of Justice and Constitutional Affairs","All constitutional matters, Legal education, integrity and ethics, ECK and judiciary.","draft",02/03/93,01/09/98,"ministry",2,"en"
70,"MLSFD","Ministry of Live Stock and Fisheries Development","Development of fisheries and live stock Industry and  research work on live stock.","draft",02/03/93,01/09/98,"ministry",2,"en"
71,"MLG","Ministry of Local Government","Local Authorities policies, cities, municipalities, towns and county councils oversight, management and development support.","draft",02/03/93,01/09/98,"ministry",2,"en"
72,"MPND","Ministry of Planning and National Development","National development planning, evaluation, economic issues and policies, central bureau of statistic and population censor and development.","draft",02/03/93,02/09/96,"ministry",2,"en"
73,"MRPWH","Ministry of Roads Public Work and Housing","Development and road maintenance & public works planning policy development.","draft",02/03/93,01/09/98,"ministry",2,"en"
74,"MST","Ministry of Science and Technology","Promotion of research, science and technology.","draft",02/03/93,01/09/98,"ministry",2,"en"
75,"MSPS","Ministry of State and Public Services","In charge of Public Service Commission.","draft",02/03/93,01/09/98,"ministry",2,"en"
76,"MSD","Ministry of State for Defense","In charge of National Defense.","draft",02/03/93,01/09/98,"ministry",2,"en"
77,"MSNE","Ministry of State for National Heritage","Social Welfare & Culture, Coordination of volunteer services","draft",02/03/93,01/09/98,"ministry",2,"en"
78,"MTI","Ministry of Trade and Industry","All international and local trade units & development of trade policies.","draft",02/03/93,01/09/98,"ministry",2,"en"
79,"MP","Ministry of Planning","National planning, evaluation, economic issues and policies, central bureau of statistic and population censor and development.","draft",02/10/96,01/09/98,"ministry",2,"en"
80,"MND","Ministry of National Development","National development implementation and project management","draft",02/10/96,01/09/98,"ministry",2,"en"
91,"PM","Prime Minister","Leader of Government Business","draft",01/09/98,01/05/03,"ministry",3,"en"
92,"DPM","Deputy Prime Minister","Deputy Leader of Government Business","draft",01/09/98,01/05/03,"ministry",3,"en"
93,"MA","Ministry of Agriculture","Agricultural Policy and Services and National Food Policy.","draft",01/09/98,01/05/03,"ministry",3,"en"
94,"ME","Ministry of Education","Inspection and supervision of educational institutions and all educational issues.","draft",01/09/98,01/05/03,"ministry",3,"en"
95,"MENRW","Ministry of Environment , Natural Resources& Wildlife","All environmental issues, Conservation, Resource survey & Remote Sensing and Forest Reserve.","draft",01/09/98,01/05/03,"ministry",3,"en"
96,"MF","Ministry of Finance","Financial policies, national budget, government expenditure and borrowing.","draft",01/09/98,01/05/03,"ministry",3,"en"
97,"MH","Ministry of Health","All health issues, dispensary ,trainings and HIV control.","draft",01/09/98,01/05/03,"ministry",3,"en"
98,"MIC","Ministry of Information and Communications","Dissemination of information to the public, institute of mass communication film development, licensing and Censorship.","draft",01/09/98,01/05/03,"ministry",3,"en"
99,"MJCA","Ministry of Justice and Constitutional Affairs","All constitutional matters, Legal education, integrity and ethics, ECK and judiciary.","draft",01/09/98,01/05/03,"ministry",3,"en"
100,"MLSFD","Ministry of Live Stock and Fisheries Development","Development of fisheries and live stock Industry and  research work on live stock.","draft",01/09/98,01/05/03,"ministry",3,"en"
101,"MLG","Ministry of Local Government","Local Authorities policies, cities, municipalities, towns and county councils oversight, management and development support.","draft",01/09/98,01/05/03,"ministry",3,"en"
103,"MRPWH","Ministry of Roads Public Work and Housing","Development and road maintenance & public works planning policy development.","draft",01/09/98,01/05/03,"ministry",3,"en"
104,"MST","Ministry of Science and Technology","Promotion of research, science and technology.","draft",01/09/98,01/05/03,"ministry",3,"en"
105,"MSPS","Ministry of State and Public Services","In charge of Public Service Commission.","draft",01/09/98,01/05/03,"ministry",3,"en"
106,"MSD","Ministry of State for Defense","In charge of National Defense.","draft",01/09/98,01/05/03,"ministry",3,"en"
107,"MSNE","Ministry of State for National Heritage","Social Welfare & Culture, Coordination of volunteer services","draft",01/09/98,01/05/03,"ministry",3,"en"
108,"MTI","Ministry of Trade and Industry","All international and local trade units & development of trade policies.","draft",01/09/98,01/05/03,"ministry",3,"en"
109,"MP","Ministry of Planning","National planning, evaluation, economic issues and policies, central bureau of statistic and population censor and development.","draft",01/09/98,01/05/03,"ministry",3,"en"
110,"MND","Ministry of National Development","National development implementation and project management","draft",01/09/98,01/05/03,"ministry",3,"en"
111,"MNE","Ministry of Natural Emergencies","Natural disaster preparedness and response","draft",03/13/00,01/05/03,"ministry",3,"en"
121,"PM","Prime Minister","Leader of Government Business","draft",01/05/03,,"ministry",4,"en"
122,"DPM","Deputy Prime Minister","Deputy Leader of Government Business","draft",01/05/03,,"ministry",4,"en"
123,"MA","Ministry of Agriculture","Agricultural Policy and Services and National Food Policy.","draft",01/05/03,06/27/05,"ministry",4,"en"
124,"ME","Ministry of Education","Inspection and supervision of educational institutions and all educational issues.","draft",01/05/03,,"ministry",4,"en"
125,"MENRW","Ministry of Environment , Natural Resources& Wildlife","All environmental issues, Conservation, Resource survey & Remote Sensing and Forest Reserve.","draft",01/05/03,,"ministry",4,"en"
126,"MF","Ministry of Finance","Financial policies, national budget, government expenditure and borrowing.","draft",01/05/03,,"ministry",4,"en"
127,"MH","Ministry of Health","All health issues, dispensary ,trainings and HIV control.","draft",01/05/03,,"ministry",4,"en"
128,"MIC","Ministry of Information and Communications","Dissemination of information to the public, institute of mass communication film development, licensing and Censorship.","draft",01/05/03,,"ministry",4,"en"
129,"MJCA","Ministry of Justice and Constitutional Affairs","All constitutional matters, Legal education, integrity and ethics, ECK and judiciary.","draft",01/05/03,,"ministry",4,"en"
130,"MLSFD","Ministry of Live Stock and Fisheries Development","Development of fisheries and live stock Industry and  research work on live stock.","draft",01/05/03,06/27/05,"ministry",4,"en"
131,"MLG","Ministry of Local Government","Local Authorities policies, cities, municipalities, towns and county councils oversight, management and development support.","draft",01/05/03,,"ministry",4,"en"
133,"MRPWH","Ministry of Roads Public Work and Housing","Development and road maintenance & public works planning policy development.","draft",01/05/03,,"ministry",4,"en"
134,"MST","Ministry of Science and Technology","Promotion of research, science and technology.","draft",01/05/03,,"ministry",4,"en"
135,"MSPS","Ministry of State and Public Services","In charge of Public Service Commission.","draft",01/05/03,,"ministry",4,"en"
136,"MSD","Ministry of State for Defense","In charge of National Defense.","draft",01/05/03,,"ministry",4,"en"
137,"MSNE","Ministry of State for National Heritage","Social Welfare & Culture, Coordination of volunteer services","draft",01/05/03,,"ministry",4,"en"
138,"MTI","Ministry of Trade and Industry","All international and local trade units & development of trade policies.","draft",01/05/03,,"ministry",4,"en"
139,"MP","Ministry of Planning","National planning, evaluation, economic issues and policies, central bureau of statistic and population censor and development.","draft",01/05/03,,"ministry",4,"en"
140,"MND","Ministry of National Development","National development implementation and project management","draft",01/05/03,,"ministry",4,"en"
141,"MNE","Ministry of Natural Emergencies","Natural disaster preparedness and response","draft",01/05/03,,"ministry",4,"en"
142,"MA","Ministry of Agriculture, Live Stock and Fisheries","Agricultural Policy, development of fisheries and live stock Industry","draft",06/27/05,,"ministry",4,"en"
151,"HB","House Business Committee","It is responsible for identifying and scheduling the business to be debated by the House in each sitting","draft",01/30/88,11/05/92,"committee",6,"en"
152,"SO","Standing Orders Committee","It Reviews Standing Orders by compiling a report containing recommendations on which standing order is to be reviwed and who to be reviewed. The report is then debated by the House in form of a motion.","draft",01/30/88,11/05/92,"committee",6,"en"
