1,6,"First Session","First Session  1988",01/23/88 12:00 AM,04/28/88 12:00 AM,"en"
4,6,"First Session","First Session  1989",01/18/89 12:00 AM,04/27/89 12:00 AM,"en"
7,6,"First Session","First Session  1990",01/07/90 12:00 AM,04/30/90 12:00 AM,"en"
10,6,"First Session","First Session  1991",01/08/91 12:00 AM,04/28/91 12:00 AM,"en"
13,6,"First Session","First Session  1992",01/08/92 12:00 AM,04/28/92 12:00 AM,"en"
16,7,"First Session","First Session  1993",02/03/93 12:00 AM,04/28/93 12:00 AM,"en"
19,7,"First Session","First Session  1994",01/18/94 12:00 AM,04/27/94 12:00 AM,"en"
22,7,"First Session","First Session  1995",01/07/95 12:00 AM,04/29/95 12:00 AM,"en"
25,7,"First Session","First Session  1996",01/08/96 12:00 AM,04/27/96 12:00 AM,"en"
28,7,"First Session","First Session  1997",01/08/97 12:00 AM,04/30/97 12:00 AM,"en"
31,8,"First Session","First Session  1998",01/09/98 12:00 AM,04/28/98 12:00 AM,"en"
34,8,"First Session","First Session  1999",01/18/99 12:00 AM,04/27/99 12:00 AM,"en"
37,8,"First Session","First Session  2000",01/07/00 12:00 AM,04/30/00 12:00 AM,"en"
40,8,"First Session","First Session  2001",01/08/01 12:00 AM,04/28/01 12:00 AM,"en"
43,8,"First Session","First Session  2002",01/07/02 12:00 AM,04/28/02 12:00 AM,"en"
46,9,"First Session","First Session  2003",02/03/03 12:00 AM,04/23/03 12:00 AM,"en"
49,9,"First Session","First Session  2004",01/18/04 12:00 AM,04/27/04 12:00 AM,"en"
52,9,"First Session","First Session  2005",01/02/05 12:00 AM,04/29/05 12:00 AM,"en"
55,9,"First Session","First Session  2006",01/03/06 12:00 AM,04/27/06 12:00 AM,"en"
58,9,"First Session","First Session  2007",01/07/07 12:00 AM,04/30/07 12:00 AM,"en"
2,6,"Second Session","Second Session  1988",06/05/88 12:00 AM,08/28/88 12:00 AM,"en"
5,6,"Second Session","Second Session  1989",06/03/89 12:00 AM,08/29/89 12:00 AM,"en"
8,6,"Second Session","Second Session  1990",06/02/90 12:00 AM,08/30/90 12:00 AM,"en"
11,6,"Second Session","Second Session  1991",06/01/91 12:00 AM,08/30/91 12:00 AM,"en"
14,6,"Second Session","Second Session  1992",06/01/92 12:00 AM,08/28/92 12:00 AM,"en"
17,7,"Second Session","Second Session  1993",06/05/93 12:00 AM,08/28/93 12:00 AM,"en"
20,7,"Second Session","Second Session  1994",06/03/94 12:00 AM,08/26/94 12:00 AM,"en"
23,7,"Second Session","Second Session  1995",06/02/95 12:00 AM,08/30/95 12:00 AM,"en"
26,7,"Second Session","Second Session  1996",06/03/96 12:00 AM,08/28/96 12:00 AM,"en"
29,7,"Second Session","Second Session  1997",06/02/97 12:00 AM,08/25/97 12:00 AM,"en"
32,8,"Second Session","Second Session  1998",06/05/98 12:00 AM,08/28/98 12:00 AM,"en"
35,8,"Second Session","Second Session  1999",06/03/99 12:00 AM,08/29/99 12:00 AM,"en"
38,8,"Second Session","Second Session  2000",06/02/00 12:00 AM,08/30/00 12:00 AM,"en"
41,8,"Second Session","Second Session  2001",06/01/01 12:00 AM,08/30/01 12:00 AM,"en"
44,8,"Second Session","Second Session  2002",06/01/02 12:00 AM,08/28/02 12:00 AM,"en"
47,9,"Second Session","Second Session  2003",06/05/03 12:00 AM,08/28/03 12:00 AM,"en"
50,9,"Second Session","Second Session  2004",06/03/04 12:00 AM,08/26/04 12:00 AM,"en"
53,9,"Second Session","Second Session  2005",06/02/05 12:00 AM,08/30/05 12:00 AM,"en"
56,9,"Second Session","Second Session  2006",06/03/06 12:00 AM,08/30/06 12:00 AM,"en"
59,9,"Second Session","Second Session  2007",06/02/07 12:00 AM,08/24/07 12:00 AM,"en"
3,6,"Third Session","Third Session  1988",10/03/88 12:00 AM,11/25/88 12:00 AM,"en"
6,6,"Third Session","Third Session  1989",10/04/89 12:00 AM,11/27/89 12:00 AM,"en"
9,6,"Third Session","Third Session  1990",10/07/90 12:00 AM,11/29/90 12:00 AM,"en"
12,6,"Third Session","Third Session  1991",10/02/91 12:00 AM,11/28/91 12:00 AM,"en"
15,6,"Third Session","Third Session  1992",10/02/92 12:00 AM,11/05/92 12:00 AM,"en"
18,7,"Third Session","Third Session  1993",10/03/93 12:00 AM,11/25/93 12:00 AM,"en"
21,7,"Third Session","Third Session  1994",10/04/94 12:00 AM,11/28/94 12:00 AM,"en"
24,7,"Third Session","Third Session  1995",10/06/95 12:00 AM,11/28/95 12:00 AM,"en"
27,7,"Third Session","Third Session  1996",10/05/96 12:00 AM,11/29/96 12:00 AM,"en"
30,7,"Third Session","Third Session  1997",10/02/97 12:00 AM,12/03/97 12:00 AM,"en"
33,8,"Third Session","Third Session  1998",10/03/98 12:00 AM,11/25/98 12:00 AM,"en"
